Concept,Question,Option One,Option Two,Option Three,Option Four,Correct Answer,Note
http methods,What is a use case for HTTP methods?,Random access,Web requests,Filtering data,Sorting data,Web requests,Interacts with servers.
http methods,What is a benefit of HTTP methods?,Increased complexity,Clarity,More memory usage,Slower execution,Clarity,Defines intent.
http methods,What is a limitation of HTTP methods?,Improved performance,Method misuse,Low memory usage,Fast execution,Method misuse,Can confuse semantics.
status codes,What are status codes?,Responses indicating request status,Sorting codes,Filtering codes,Compression codes,Responses indicating request status,HTTP feedback.
status codes,What does 404 mean?,Not Found,OK,Server Error,Redirect,Not Found,Resource unavailable.
status codes,What is a use case for status codes?,Random access,Error handling,Filtering data,Sorting data,Error handling,Informs clients.
status codes,What is a benefit of status codes?,Increased complexity,Communication,More memory usage,Slower execution,Communication,Standardized feedback.
status codes,What is a limitation of status codes?,Improved performance,Ambiguity,Low memory usage,Fast execution,Ambiguity,Requires interpretation.
frontend,What is frontend in web development?,Client-side interface,Server-side logic,Sorting interface,Filtering interface,Client-side interface,User-facing layer.
frontend,What technology builds frontend?,HTML,SQL,Python,C++,HTML,Structures content.
frontend,What is a use case for frontend?,Random access,User interaction,Filtering data,Sorting data,User interaction,Enhances experience.
frontend,What is a benefit of frontend?,Increased complexity,Responsiveness,More memory usage,Slower execution,Responsiveness,Improves usability.
frontend,What is a limitation of frontend?,Improved performance,Browser dependency,Low memory usage,Fast execution,Browser dependency,Varies across devices.
backend,What is backend in web development?,Server-side logic,Client-side interface,Sorting logic,Filtering logic,Server-side logic,Handles data.
backend,What technology supports backend?,Node.js,HTML,CSS,JavaScript,Node.js,Server execution.
backend,What is a use case for backend?,Random access,Data processing,Filtering data,Sorting data,Data processing,Manages logic.
backend,What is a benefit of backend?,Increased complexity,Security,More memory usage,Slower execution,Security,Controls access.
backend,What is a limitation of backend?,Improved performance,Scalability issues,Low memory usage,Fast execution,Scalability issues,Handles load.
frameworks,What are frameworks in programming?,Structures for application development,Sorting tools,Filtering tools,Compression tools,Structures for application development,Simplifies coding.
frameworks,What is an example of a framework?,React,HTML,CSS,JavaScript,React,Component-based UI.
frameworks,What is a use case for frameworks?,Random access,App development,Filtering data,Sorting data,App development,Speeds up process.
frameworks,What is a benefit of frameworks?,Increased complexity,Productivity,More memory usage,Slower execution,Productivity,Provides tools.
frameworks,What is a limitation of frameworks?,Improved performance,Learning curve,Low memory usage,Fast execution,Learning curve,Requires training.
react,What is React?,A JavaScript library for building UIs,Sorting library,Filtering library,Compression library,A JavaScript library for building UIs,Component-based.
react,What feature uses JSX in React?,Components,Loops,Variables,Arrays,Components,Enhances syntax.
react,What is a use case for React?,Random access,Single-page apps,Filtering data,Sorting data,Single-page apps,Dynamic interfaces.
react,What is a benefit of React?,Increased complexity,Reusability,More memory usage,Slower execution,Reusability,Component reuse.
react,What is a limitation of React?,Improved performance,Learning curve,Low memory usage,Fast execution,Learning curve,Requires expertise.
angular,What is Angular?,A platform for building web applications,Sorting platform,Filtering platform,Compression platform,A platform for building web applications,Full-featured framework.
angular,What feature uses TypeScript in Angular?,Components,Loops,Variables,Arrays,Components,Enhances typing.
angular,What is a use case for Angular?,Random access,Enterprise apps,Filtering data,Sorting data,Enterprise apps,Complex applications.
angular,What is a benefit of Angular?,Increased complexity,Structure,More memory usage,Slower execution,Structure,Provides tools.
angular,What is a limitation of Angular?,Improved performance,Steep learning curve,Low memory usage,Fast execution,Steep learning curve,Complex setup.
vue js,What is Vue.js?,A progressive JavaScript framework,Sorting framework,Filtering framework,Compression framework,A progressive JavaScript framework,Lightweight UI.
vue js,What directive binds data in Vue.js?,v-bind,ng-bind,v-if,v-for,v-bind,Links attributes.
vue js,What is a use case for Vue.js?,Random access,Small apps,Filtering data,Sorting data,Small apps,Simple projects.
vue js,What is a benefit of Vue.js?,Increased complexity,Ease of use,More memory usage,Slower execution,Ease of use,Quick integration.
vue js,What is a limitation of Vue.js?,Improved performance,Smaller community,Low memory usage,Fast execution,Smaller community,Limited resources.
node js,What is Node.js?,A JavaScript runtime for server-side,Sorting runtime,Filtering runtime,Compression runtime,A JavaScript runtime for server-side,Non-blocking I/O.
node js,What module manages HTTP in Node.js?,http,fs,os,path,http,Handles requests.
node js,What is a use case for Node.js?,Random access,Real-time apps,Filtering data,Sorting data,Real-time apps,Handles events.
node js,What is a benefit of Node.js?,Increased complexity,Performance,More memory usage,Slower execution,Performance,Non-blocking.
node js,What is a limitation of Node.js?,Improved performance,CPU-intensive tasks,Low memory usage,Fast execution,CPU-intensive tasks,Single-threaded.
express js,What is Express.js?,A web framework for Node.js,Sorting framework,Filtering framework,Compression framework,A web framework for Node.js,Simplifies routing.
express js,What method sets up a route?,app.get(),app.post(),app.put(),app.delete(),app.get(),Handles GET requests.
express js,What is a use case for Express.js?,Random access,API development,Filtering data,Sorting data,API development,Quick setup.
express js,What is a benefit of Express.js?,Increased complexity,Simplicity,More memory usage,Slower execution,Simplicity,Minimalist design.
express js,What is a limitation of Express.js?,Improved performance,Limited features,Low memory usage,Fast execution,Limited features,Requires middleware.
django,What is Django?,A high-level Python web framework,Sorting framework,Filtering framework,Compression framework,A high-level Python web framework,Full-stack.
django,What feature uses ORM in Django?,Models,Views,Templates,URLs,Models,Database abstraction.
django,What is a use case for Django?,Random access,Web development,Filtering data,Sorting data,Web development,Rapid development.
django,What is a benefit of Django?,Increased complexity,Security,More memory usage,Slower execution,Security,Built-in protections.
django,What is a limitation of Django?,Improved performance,Monolithic nature,Low memory usage,Fast execution,Monolithic nature,Less flexibility.
flask,What is Flask?,A micro web framework in Python,Sorting framework,Filtering framework,Compression framework,A micro web framework in Python,Lightweight.
flask,What decorator defines a route?,@app.route(),@route(),@get(),@post(),@app.route(),Maps URLs.
flask,What is a use case for Flask?,Random access,Small apps,Filtering data,Sorting data,Small apps,Simple projects.
flask,What is a benefit of Flask?,Increased complexity,Flexibility,More memory usage,Slower execution,Flexibility,Minimalist design.
flask,What is a limitation of Flask?,Improved performance,Limited features,Low memory usage,Fast execution,Limited features,Requires extensions.
cookies,What are cookies?,Small data stored on the client,Sorting data,Filtering data,Compression data,Small data stored on the client,Tracks sessions.
cookies,What method sets a cookie in JavaScript?,document.cookie,window.cookie,navigator.cookie,location.cookie,document.cookie,Adds key-value pairs.
cookies,What is a use case for cookies?,Random access,Session tracking,Filtering data,Sorting data,Session tracking,Remembers users.
cookies,What is a benefit of cookies?,Increased complexity,State management,More memory usage,Slower execution,State management,Maintains context.
